# This file contains the covalent and vanderwaals radii according to bondii
# If you want to use other radii, change this file or replace it with another one, containing the same columns
name,symbol,cov_radius,vdw_radius
Actinium,Ac,2.15,2
Aluminium,Al,1.21,2
Americium,Am,1.806,2
Antimony,Sb,1.395,2
Argon,Ar,1.06,1.88
Arsenic,As,1.194,1.85
Astatine,At,1.5,2
Barium,Ba,2.1511,2
Berkelium,Bk,1.68,2
Beryllium,Be,0.963,2
Bismuth,Bi,1.484,2
Bohrium,Bh,1.41,2
Boron,B,0.84,2
Bromine,Br,1.203,1.85
Cadmium,Cd,1.58,1.58
Caesium,Cs,2.4411,2
Calcium,Ca,1.761,2
Californium,Cf,1.68,
Carbon,C,0.76,1.7
Cerium,Ce,2.04,2
Chlorine,Cl,1.024,1.75
Chromium,Cr,1.395,2
Cobalt,Co,1.5,2
Copper,Cu,1.32,1.4
Curium,Cm,1.69,2
Darmstadtium,Ds,1.28,2
Dubnium,Db,1.49,2
Dysprosium,Dy,1.67,2
Einsteinium,Es,1.65,2
Erbium,Er,1.65,2
Europium,Eu,1.68,2
Fermium,Fm,1.67,2
Fluorine,F,0.573,1.47
Francium,Fr,2.23,2
Gadolinium,Gd,1.69,2
Gallium,Ga,1.22,1.87
Germanium,Ge,1.21,2
Gold,Au,1.24,1.66
Hafnium,Hf,1.52,2
Hassium,Hs,1.34,2
Helium,He,0.28,1.4
Holmium,Ho,1.92,2
Hydrogen,H,0.315,1.09
Indium,In,1.42,1.93
Iodine,I,1.393,1.98
Iridium,Ir,2,2
Iron,Fe,1.52,2
Krypton,Kr,1.16,2.02
Lanthanum,La,2.07,2
Lawrencium,Lr,1.61,2
Lawrencium,Lw,1.61,2
Lead,Pb,1.46,2.02
Lithium,Li,1.287,1.82
Lutetium,Lu,1.75,2
Magnesium,Mg,1.417,1.73
Manganese,Mn,1.618,2
Meitnerium,Mt,1.29,2
Mendelevium,Md,1.73,2
Mercury,Hg,1.42,1.55
Molybdenum,Mo,1.54,2
Neodymium,Nd,2.01,2
Neon,Ne,0.58,1.54
Neptunium,Np,1.71,2
Nickel,Ni,1.1,1.63
Niobium,Nb,1.47,2
Nitrogen,N,0.71,1.55
Nobelium,No,1.76,2
Osmium,Os,1.44,2
Oxygen,O,0.66,1.52
Palladium,Pd,1.39,1.63
Phosphorus,P,1.07,1.8
Platinum,Pt,1.36,1.72
Plutonium,Pu,1.87,2
Polonium,Po,1.4,2
Potassium,K,2.0312,2.75
Praseodymium,Pr,2.037,2
Promethium,Pm,1.99,2
Protactinium,Pa,2,2
Radium,Ra,2.21,2
Radon,Rn,1.5,2
Rhenium,Re,1.51,2
Rhodium,Rh,1.42,2
Rubidium,Rb,2.209,2
Ruthenium,Ru,2,2
Rutherfordium,Rf,1.57,2
Samarium,Sm,1.25,2
Scandium,Sc,1.707,2
Seaborgium,Sg,1.43,2
Selenium,Se,1.2,1.9
Silicon,Si,1.11,2.1
Silver,Ag,1.45,1.72
Sodium,Na,1.669,2.27
Strontium,Sr,1.951,2
Sulphur,S,1.05,1.8
Tantalum,Ta,1.7,2
Technetium,Tc,1.47,2
Tellurium,Te,1.38,2.06
Terbium,Tb,1.945,2
Thallium,Tl,1.45,1.96
Thorium,Th,2.06,2
Thulium,Tm,1.9,2
Tin,Sn,1.39,2.17
Titanium,Ti,1.608,2
Tungsten,W,1.62,2
Uranium,U,1.96,1.86
Vanadium,V,1.538,2
Xenon,Xe,1.409,2.16
Ytterbium,Yb,1.7,2
Yttrium,Y,1.907,2
Zinc,Zn,1.2,1.39
Zirconium,Zr,1.54,2
R,R,2,2
